node	label	parent	branch.length	CI_date	CI_height	date	gisaid_epi_isl	strain	date_str	region	country	division	country_exposure	nextstrain_clade	pangolin_lineage	originating_lab	submitting_lab	authors	tree_pangolin_lineage	travel_context	similarity_context	focal_sequence	is_visited	France_loc_weight	Austria_loc_weight	China_loc_weight	Switzerland_loc_weight	United Kingdom_loc_weight	Denmark_loc_weight	Luxembourg_loc_weight	Germany_loc_weight
65	EPI_ISL_644512|2020-09-25	110	0.026195	NA	NA	2020-09-25	EPI_ISL_644512	France/PAC-MEPHI-2148/2020	2020-09-25	Europe	France	Provence-Alpes-Côte d'Azur	France	20A.EU2	B.1.160	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
66	EPI_ISL_740028|2020-08-03	90	0.00939862	NA	NA	2020-08-03	EPI_ISL_740028	Luxembourg/LNS1956201/2020	2020-08-03	Europe	Luxembourg	Luxembourg	Luxembourg	20A.EU2	B.1.160	Laboratoire national de santé, Microbiology, Virology	Laboratoire national de santé, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
67	EPI_ISL_683393|2020-09-04	90	0.0970699	NA	NA	2020-09-04	EPI_ISL_683393	France/ARA-68071/2020	2020-09-04	Europe	France	Auvergne-Rhône-Alpes	France	20A.EU2	B.1.160	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
68	EPI_ISL_541443|2020-08-31	90	0.086111	NA	NA	2020-08-31	EPI_ISL_541443	Switzerland/BE-ETHZ-270194/2020	2020-08-31	Europe	Switzerland	Bern	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
69	EPI_ISL_603313|2020-10-01	111	0.0558488	NA	NA	2020-10-01	EPI_ISL_603313	Switzerland/BE-ETHZ-300281/2020	2020-10-01	Europe	Switzerland	Bern	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
70	EPI_ISL_603324|2020-10-01	111	0.0558488	NA	NA	2020-10-01	EPI_ISL_603324	Switzerland/GE-ETHZ-300292/2020	2020-10-01	Europe	Switzerland	Geneva	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
71	EPI_ISL_566464|2020-09-10	112	0.0474549	NA	NA	2020-09-10	EPI_ISL_566464	England/MILK-9C2DA0/2020	2020-09-10	Europe	United Kingdom	England	United Kingdom	20A.EU2	B.1.160	Lighthouse Lab in Milton Keynes	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	The Lighthouse Lab in Milton Keynes et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
72	EPI_ISL_590173|2020-09-04	112	0.0310165	NA	NA	2020-09-04	EPI_ISL_590173	Wales/CAMC-9B1AAD/2020	2020-09-04	Europe	United Kingdom	Wales	United Kingdom	20A.EU2	B.1.160	Lighthouse Lab in Cambridge	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium	Rob Howes et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
73	EPI_ISL_940199|2020-09-04	112	0.0310165	NA	NA	2020-09-04	EPI_ISL_940199	France/IDF_HB_112009017318/2020	2020-09-04	Europe	France	Ile de France	France	20A.EU2	B.1.160	Hôpital Bichat Claude Bernard, Laboratoire de Virologie	IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat	Antoine Bridier-Nahmias et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
74	EPI_ISL_639980|2020-09-22	90	0.146385	NA	NA	2020-09-22	EPI_ISL_639980	France/ARA76733/2020	2020-09-22	Europe	France	Auvergne-Rhône-Alpes	France	20A.EU2	B.1.160	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
75	EPI_ISL_541484|2020-09-03	114	0	NA	NA	2020-09-03	EPI_ISL_541484	Switzerland/VD-ETHZ-270098/2020	2020-09-03	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
76	EPI_ISL_896150|2020-09-23	114	0.0547945	NA	NA	2020-09-23	EPI_ISL_896150	France/PAC-IHUCOVID-2074/2020	2020-09-23	Europe	France	Provence-Alpes-Côte d'Azur	France	20A.EU2	B.1.160	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
77	EPI_ISL_683391|2020-09-05	90	0.0998096	NA	NA	2020-09-05	EPI_ISL_683391	France/ARA-68043/2020	2020-09-05	Europe	France	Auvergne-Rhône-Alpes	France	20A.EU2	B.1.160	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
78	EPI_ISL_569050|2020-08-05	90	0.0148781	NA	NA	2020-08-05	EPI_ISL_569050	France/PAC-IHU-1092/2020	2020-08-05	Europe	France	Provence-Alpes-Côte d'Azur	France	20A.EU2	B.1.160	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
79	EPI_ISL_569130|2020-08-19	90	0.0532342	NA	NA	2020-08-19	EPI_ISL_569130	France/PAC-IHU-1346/2020	2020-08-19	Europe	France	Provence-Alpes-Côte d'Azur	France	20A.EU2	B.1.160	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
80	EPI_ISL_569191|2020-08-13	90	0.0367959	NA	NA	2020-08-13	EPI_ISL_569191	France/PAC-IHU-1529/2020	2020-08-13	Europe	France	Provence-Alpes-Côte d'Azur	France	20A.EU2	B.1.160	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
81	EPI_ISL_603383|2020-09-29	115	0.117059	NA	NA	2020-09-29	EPI_ISL_603383	Switzerland/VD-ETHZ-300428/2020	2020-09-29	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
82	EPI_ISL_613551|2020-09-02	115	0.0430864	NA	NA	2020-09-02	EPI_ISL_613551	France/BRE-BR9062/2020	2020-09-02	Europe	France	Bretagne	France	20A.EU2	B.1.160	CHRU Pontchaillou - Laboratoire de Virologie 2, rue Henri Le Guilloux	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
83	EPI_ISL_940201|2020-09-05	90	0.0998096	NA	NA	2020-09-05	EPI_ISL_940201	France/IDF_HB_112009019057/2020	2020-09-05	Europe	France	Ile de France	France	20A.EU2	B.1.160	Hôpital Bichat Claude Bernard, Laboratoire de Virologie	IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat	Antoine Bridier-Nahmias et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
84	EPI_ISL_940204|2020-09-07	90	0.105289	NA	NA	2020-09-07	EPI_ISL_940204	France/IDF_HB_112009025548/2020	2020-09-07	Europe	France	Ile de France	France	20A.EU2	B.1.160	Hôpital Bichat Claude Bernard, Laboratoire de Virologie	IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat	Antoine Bridier-Nahmias et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
85	EPI_ISL_842651|2020-09-25	90	0.154604	NA	NA	2020-09-25	EPI_ISL_842651	Switzerland/BE-42456588/2020	2020-09-25	Europe	Switzerland	Bern	Switzerland	20A.EU2	B.1.160	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
86	EPI_ISL_402125|2019-12-26	89	0.028652	NA	NA	2019-12-26	EPI_ISL_402125	Wuhan/Hu-1/2019	2019-12-26	Asia	China	Hubei	China	19A	B	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al	B	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
87	EPI_ISL_406798|2019-12-26	88	0.0558862	NA	NA	2019-12-26	EPI_ISL_406798	Wuhan/WH01/2019	2019-12-26	Asia	China	Hubei	China	19A	B	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al	B	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
88	NA	88	NA	c("2019-11-14", "2019-12-26")	c(0.764384, 0.878685)	2019-12-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
89	NA	88	0.0272342	c("2019-11-16", "2019-12-26")	c(0.764384, 0.874347)	2019-12-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
90	NA	89	0.621993	c("2020-07-21", "2020-08-03")	c(0.161644, 0.198248)	2020-07-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0
93	NA	90	0.0696726	c("2020-08-10", "2020-08-25")	c(0.10137, 0.141178)	2020-08-25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0
94	NA	93	0.0794521	c("2020-09-12", "2020-09-23")	c(0.0219178, 0.0519499)	2020-09-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0
95	NA	93	0.0431267	c("2020-08-21", "2020-09-25")	c(0.0164384, 0.111143)	2020-09-10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0
96	NA	95	0.040825	c("2020-09-18", "2020-09-25")	c(0.0164384, 0.0363031)	2020-09-25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0
97	NA	90	0.00557476	c("2020-07-24", "2020-08-21")	c(0.112329, 0.188568)	2020-08-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0
98	NA	90	0.140905	c("2020-09-04", "2020-09-20")	c(0.030137, 0.0727963)	2020-09-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0
99	NA	90	0.000643434	c("2020-07-22", "2020-08-25")	c(0.1016, 0.193154)	2020-07-31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0
100	NA	90	0.0170288	c("2020-07-26", "2020-08-22")	c(0.109589, 0.184092)	2020-08-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0
101	NA	90	0.129947	c("2020-09-03", "2020-09-16")	c(0.0410959, 0.0771892)	2020-09-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
102	NA	90	0.0193833	c("2020-07-24", "2020-08-28")	c(0.0928245, 0.18908)	2020-08-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0
103	NA	90	0.0750841	c("2020-07-31", "2020-09-08")	c(0.0630137, 0.169564)	2020-08-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0
105	NA	90	0.0256503	c("2020-07-24", "2020-08-29")	c(0.0908124, 0.187978)	2020-08-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
106	NA	105	0.0291279	c("2020-08-02", "2020-09-13")	c(0.0490023, 0.165366)	2020-08-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
107	NA	90	0.00812284	c("2020-07-23", "2020-08-19")	c(0.117519, 0.193124)	2020-08-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1	0	0	0	0	0	0	0
108	NA	107	0.0236367	c("2020-07-25", "2020-08-31")	c(0.0853447, 0.185869)	2020-08-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1	0	0	0	0	0	0	0
110	NA	90	0.128409	c("2020-08-26", "2020-09-25")	c(0.0164384, 0.0998074)	2020-09-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1	0	0	0	0	0	0	0
111	NA	90	0.115194	c("2020-08-13", "2020-10-01")	c(0, 0.135463)	2020-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	0	0	0	1	0	0	0	0
112	NA	90	0.0660534	c("2020-08-11", "2020-09-02")	c(0.0786878, 0.140814)	2020-08-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1	0	0	0	0	0	0	0
114	NA	90	0.0943301	c("2020-08-11", "2020-09-03")	c(0.0767123, 0.139041)	2020-09-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
115	NA	90	0.048504	c("2020-07-31", "2020-09-02")	c(0.0794521, 0.171216)	2020-08-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
