"gisaid_epi_isl","strain","date_str","date","region","country","division","country_exposure","nextstrain_clade","pangolin_lineage","originating_lab","submitting_lab","authors","tree_pangolin_lineage","tree_label","travel_context","similarity_context","focal_sequence"
"EPI_ISL_632346","Netherlands/NH-EMC-89/2020","2020-09-17",2020-09-17,"Europe","Netherlands","North Holland","Netherlands","20E (EU1)","B.1.177","Dutch COVID-19 response team","Erasmus Medical Center","Bas Oude Munnink et al","B.1.177","EPI_ISL_632346|2020-09-17",TRUE,FALSE,FALSE
"EPI_ISL_632387","Netherlands/UT-EMC-102/2020","2020-09-15",2020-09-15,"Europe","Netherlands","Utrecht","Netherlands","20E (EU1)","B.1.177","Dutch COVID-19 response team","Erasmus Medical Center","Bas Oude Munnink et al","B.1.177","EPI_ISL_632387|2020-09-15",TRUE,FALSE,FALSE
"EPI_ISL_632569","Netherlands/ZH-EMC-722/2020","2020-09-29",2020-09-29,"Europe","Netherlands","South Holland","Netherlands","20E (EU1)","B.1.177","Dutch COVID-19 response team","Erasmus Medical Center","Bas Oude Munnink et al","B.1.177","EPI_ISL_632569|2020-09-29",TRUE,FALSE,FALSE
"EPI_ISL_632570","Netherlands/ZH-EMC-723/2020","2020-09-29",2020-09-29,"Europe","Netherlands","South Holland","Netherlands","20E (EU1)","B.1.177","Dutch COVID-19 response team","Erasmus Medical Center","Bas Oude Munnink et al","B.1.177","EPI_ISL_632570|2020-09-29",FALSE,TRUE,FALSE
"EPI_ISL_636906","Lithuania/MR-LUHS-Eilnr479/2020","2020-09-12",2020-09-12,"Europe","Lithuania","Kauno Apskritis","Lithuania","20E (EU1)","B.1.177","Lithuanian University of Health Sciences Hospital, Department of Laboratory Medicine","Lithuanian University of Health Sciences, Molecular cardiology lab.","Lukas Zemaitis et al","B.1.177","EPI_ISL_636906|2020-09-12",FALSE,TRUE,FALSE
"EPI_ISL_638284","England/ALDP-9E8BD7/2020","2020-09-24",2020-09-24,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Centre for Enzyme Innovation, University of Portsmouth / Translational Research Laboratory, Portsmouth Hospitals NHS Trust","COVID-19 Genomics UK (COG-UK) Consortium","Angela Beckett et al","B.1.177","EPI_ISL_638284|2020-09-24",FALSE,TRUE,FALSE
"EPI_ISL_639992","France/ARA77081/2020","2020-09-23",2020-09-23,"Europe","France","Auvergne-Rhône-Alpes","France","20E (EU1)","B.1.177","CNR Virus des Infections Respiratoires - France SUD","CNR Virus des Infections Respiratoires - France SUD","Antonin Bal et al","B.1.177","EPI_ISL_639992|2020-09-23",TRUE,FALSE,FALSE
"EPI_ISL_644440","France/PAC-MEPHI-1746/2020","2020-09-18",2020-09-18,"Europe","France","Provence-Alpes-Côte d'Azur","France","20E (EU1)","B.1.177","MEPHI, Aix Marseille University","MEPHI, Aix Marseille University","Anthony LEVASSEUR et al","B.1.177","EPI_ISL_644440|2020-09-18",TRUE,FALSE,FALSE
"EPI_ISL_654055","Spain/MD-IBV-99008469/2020","2020-08-06",2020-08-06,"Europe","Spain","Madrid","Spain","20E (EU1)","B.1.177","Hospital General Universitario Gregorio Marañón","SeqCOVID-SPAIN consortium/IBV(CSIC)","Darío García de Viedma et al","B.1.177","EPI_ISL_654055|2020-08-06",TRUE,FALSE,FALSE
"EPI_ISL_654140","Spain/MD-IBV-99008789/2020","2020-09-21",2020-09-21,"Europe","Spain","Madrid","Spain","20E (EU1)","B.1.177","Hospital General Universitario Gregorio Marañón","SeqCOVID-SPAIN consortium/IBV(CSIC)","Darío García de Viedma et al","B.1.177","EPI_ISL_654140|2020-09-21",FALSE,TRUE,FALSE
"EPI_ISL_654164","Spain/MD-IBV-99008672/2020","2020-10-01",2020-10-01,"Europe","Spain","Madrid","Spain","20E (EU1)","B.1.177","Hospital General Universitario Gregorio Marañón","SeqCOVID-SPAIN consortium/IBV(CSIC)","Darío García de Viedma et al","B.1.177","EPI_ISL_654164|2020-10-01",FALSE,TRUE,FALSE
"EPI_ISL_654175","Spain/MD-IBV-99008641/2020","2020-09-29",2020-09-29,"Europe","Spain","Madrid","Spain","20E (EU1)","B.1.177","Hospital General Universitario Gregorio Marañón","SeqCOVID-SPAIN consortium/IBV(CSIC)","Darío García de Viedma et al","B.1.177","EPI_ISL_654175|2020-09-29",FALSE,TRUE,FALSE
"EPI_ISL_654445","Spain/AR-IBV-98008012/2020","2020-10-01",2020-10-01,"Europe","Spain","Aragon","Spain","20E (EU1)","B.1.177","Servicio de Microbiología, Hospital Miguel Servet, Zaragoza","SeqCOVID-SPAIN consortium/IBV(CSIC)","Antonio Rezusta López et al","B.1.177","EPI_ISL_654445|2020-10-01",FALSE,TRUE,FALSE
"EPI_ISL_660281","Spain/CT-IBV-99009884/2020","2020-08-05",2020-08-05,"Europe","Spain","Catalunya","Spain","20E (EU1)","B.1.177","Servicio de Microbiología, Laboratori Clínic Metropolitana Nord. Hospital Universitari Germans Trias i Pujol. Institut d’Investigació en Ciències de la Salut Germans Trias i Pujol (IGTP)","SeqCOVID-SPAIN consortium/IBV(CSIC)","Elisa Martró et al","B.1.177","EPI_ISL_660281|2020-08-05",TRUE,FALSE,FALSE
"EPI_ISL_722278","Netherlands/NB-EMC-373/2020","2020-09-28",2020-09-28,"Europe","Netherlands","North Brabant","Netherlands","20E (EU1)","B.1.177","Dutch COVID-19 response team","Erasmus Medical Center","Bas Oude Munnink et al","B.1.177","EPI_ISL_722278|2020-09-28",FALSE,TRUE,FALSE
"EPI_ISL_722815","Netherlands/ZH-EMC-1024/2020","2020-08-28",2020-08-28,"Europe","Netherlands","South Holland","Netherlands","20E (EU1)","B.1.177","Dutch COVID-19 response team","Erasmus Medical Center","Bas Oude Munnink et al","B.1.177","EPI_ISL_722815|2020-08-28",TRUE,FALSE,FALSE
"EPI_ISL_722836","Netherlands/NB-EMC-382/2020","2020-09-28",2020-09-28,"Europe","Netherlands","North Brabant","Netherlands","20E (EU1)","B.1.177","Dutch COVID-19 response team","Erasmus Medical Center","Bas Oude Munnink et al","B.1.177","EPI_ISL_722836|2020-09-28",FALSE,TRUE,FALSE
"EPI_ISL_729368","Germany/SH-ChVir9126/2020","2020-09-21",2020-09-21,"Europe","Germany","Schleswig-Holstein","Germany","20E (EU1)","B.1.177","A. Krumbholz, Labor Dr. Krause und Kollegen MVZ GmbH, Kiel","Charité Universitätsmedizin Berlin, Institut für Virologie","Victor M Corman et al","B.1.177","EPI_ISL_729368|2020-09-21",TRUE,FALSE,FALSE
"EPI_ISL_732782","Spain/RI-IBV-99010951/2020","2020-08-25",2020-08-25,"Europe","Spain","La Rioja","Spain","20E (EU1)","B.1.177","Centro de Investigación Biomédica de La Rioja - Hospital San Pedro Logroño","SeqCOVID-SPAIN consortium/IBV(CSIC)","María de Toro et al","B.1.177","EPI_ISL_732782|2020-08-25",TRUE,FALSE,FALSE
"EPI_ISL_738122","Italy/CAM-IZSM-115255/2020","2020-08-23",2020-08-23,"Europe","Italy","Campania","Spain","20E (EU1)","B.1.177","IZSM-U.O.C. Virologia","Istituto Zooprofilattico Sperimentale del Mezzogiorno","Maurizio Viscardi et al","B.1.177","EPI_ISL_738122|2020-08-23",TRUE,FALSE,FALSE
"EPI_ISL_768648","Japan/IC-0439/2020","2020-10",2020-10-01,"Asia","Japan","Japan","France","20E (EU1)","B.1.177","Pathogen Genomics Center, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases","Tsuyoshi Sekizuka et al","B.1.177","EPI_ISL_768648|2020-10",FALSE,TRUE,FALSE
"EPI_ISL_777004","Italy/CAM-TIGEM-370/2020","2020-09-20",2020-09-20,"Europe","Italy","Campania","Italy","20E (EU1)","B.1.177","Istituto Zooprofilattico Sperimentale del Mezzogiorno","TIGEM","Antonio Grimaldi et al","B.1.177","EPI_ISL_777004|2020-09-20",TRUE,FALSE,FALSE
"EPI_ISL_778692","Italy/CAM-TIGEM-397/2020","2020-09-29",2020-09-29,"Europe","Italy","Campania","Italy","20E (EU1)","B.1.177","Istituto Zooprofilattico Sperimentale del Mezzogiorno","TIGEM","Antonio Grimaldi et al","B.1.177","EPI_ISL_778692|2020-09-29",TRUE,FALSE,FALSE
"EPI_ISL_778720","Italy/CAM-TIGEM-420/2020","2020-09-15",2020-09-15,"Europe","Italy","Campania","Italy","20E (EU1)","B.1.177","Istituto Zooprofilattico Sperimentale del Mezzogiorno","TIGEM","Antonio Grimaldi et al","B.1.177","EPI_ISL_778720|2020-09-15",TRUE,FALSE,FALSE
"EPI_ISL_824408","Italy/LAZ-INMI-82isl/2020","2020-08-18",2020-08-18,"Europe","Italy","Lazio","Italy","20E (EU1)","B.1.177","Istituto Nazionale Malattie Infettive Lazzaro Spallanzani IRCCS","Istituto Nazionale Malattie Infettive Lazzaro Spallanzani IRCCS","Barbara Bartolini et al","B.1.177","EPI_ISL_824408|2020-08-18",TRUE,FALSE,FALSE
"EPI_ISL_830738","Switzerland/AG-42447876/2020","2020-09-19",2020-09-19,"Europe","Switzerland","Aargau","Switzerland","20E (EU1)","B.1.177","University Hospital Basel, Clinical Virology","University Hospital Basel, Clinical Bacteriology","Tim Roloff et al","B.1.177","EPI_ISL_830738|2020-09-19",FALSE,FALSE,TRUE
"EPI_ISL_830786","Switzerland/BS-42427683/2020","2020-09-06",2020-09-06,"Europe","Switzerland","Basel-Stadt","Switzerland","20E (EU1)","B.1.177","University Hospital Basel, Clinical Virology","University Hospital Basel, Clinical Bacteriology","Tim Roloff et al","B.1.177","EPI_ISL_830786|2020-09-06",FALSE,FALSE,TRUE
"EPI_ISL_830793","Switzerland/BS-42429735/2020","2020-09-07",2020-09-07,"Europe","Switzerland","Basel-Stadt","Switzerland","20E (EU1)","B.1.177","University Hospital Basel, Clinical Virology","University Hospital Basel, Clinical Bacteriology","Tim Roloff et al","B.1.177","EPI_ISL_830793|2020-09-07",FALSE,FALSE,TRUE
"EPI_ISL_830815","Switzerland/BS-42456700/2020","2020-09-25",2020-09-25,"Europe","Switzerland","Basel-Stadt","Switzerland","20E (EU1)","B.1.177","University Hospital Basel, Clinical Virology","University Hospital Basel, Clinical Bacteriology","Tim Roloff et al","B.1.177","EPI_ISL_830815|2020-09-25",FALSE,FALSE,TRUE
"EPI_ISL_831010","Switzerland/SO-42487067/2020","2020-09-19",2020-09-19,"Europe","Switzerland","Solothurn","Switzerland","20E (EU1)","B.1.177","University Hospital Basel, Clinical Virology","University Hospital Basel, Clinical Bacteriology","Tim Roloff et al","B.1.177","EPI_ISL_831010|2020-09-19",FALSE,FALSE,TRUE
"EPI_ISL_831126","Spain/MD-IBV-99013242/2020","2020-09-07",2020-09-07,"Europe","Spain","Madrid","Spain","20E (EU1)","B.1.177","Hospital Universitario La Paz (Madrid)","SeqCOVID-SPAIN consortium/IBV(CSIC)","María Rodríguez-Tejedor et al","B.1.177","EPI_ISL_831126|2020-09-07",TRUE,FALSE,FALSE
"EPI_ISL_837308","Italy/CAM-TIGEM-964/2020","2020-09-17",2020-09-17,"Europe","Italy","Campania","Italy","20E (EU1)","B.1.177","Istituto Zooprofilattico Sperimentale del Mezzogiorno","TIGEM","Antonio Grimaldi et al","B.1.177","EPI_ISL_837308|2020-09-17",TRUE,FALSE,FALSE
"EPI_ISL_959955","Germany/HH-HPI-p2911/2020","2020-09-25",2020-09-25,"Europe","Germany","Hamburg","Germany","20E (EU1)","B.1.177","University Medical Center Hamburg Eppendorf","Heinrich Pette Institute, Leibniz Institute for Experimental Virology","Alexis Robitaille et al","B.1.177","EPI_ISL_959955|2020-09-25",TRUE,FALSE,FALSE
"EPI_ISL_977174","Italy/VEN-IZSVe-20RS2272-27_PD/2020","2020-08-23",2020-08-23,"Europe","Italy","Veneto","Italy","20E (EU1)","B.1.177","Microbiologia e Virologia","Istituto Zooprofilattico Sperimentale delle Venezie","Adelaide Milani et al","B.1.177","EPI_ISL_977174|2020-08-23",TRUE,FALSE,FALSE
